ORGANISME,CODE_QUALIFICATION,LIBELLE_QUALIFICATION,DOMAINE_TRAVAUX,META_DOMAINE,,
qualibat,2372D109,Charpente et structures industrialisées en bois,"Fenêtres, volets, portes donnant sur l'extérieur",Travaux d'efficacité énergétique,,
qualibat,2381D109,Fourniture et pose de bâtiments en panneaux bois massifs croisés,"Fenêtres, volets, portes donnant sur l'extérieur",Travaux d'efficacité énergétique,,
qualibat,3171D110,Couverture en bardeaux bitumés,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3511D109,"Fourniture et pose de menuiseries extérieures en maison individuelle, petit collectif et petit tertiaire","Fenêtres, volets, portes donnant sur l'extérieur",Travaux d'efficacité énergétique,,
qualibat,3512D109,Fourniture et pose de menuiseries extérieures dans tout type de bâtiment,"Fenêtres, volets, portes donnant sur l'extérieur",Travaux d'efficacité énergétique,,
qualibat,3521D109,Fabrication et pose de menuiseries extérieures en aluminium,"Fenêtres, volets, portes donnant sur l'extérieur",Travaux d'efficacité énergétique,,
qualibat,3522D109,Fabrication et pose de menuiseries extérieures en aluminium,"Fenêtres, volets, portes donnant sur l'extérieur",Travaux d'efficacité énergétique,,
qualibat,3531D109,Fabrication et pose de menuiseries extérieures en acier,"Fenêtres, volets, portes donnant sur l'extérieur",Travaux d'efficacité énergétique,,
qualibat,3532D109,Fabrication et pose de menuiseries extérieures en acier,"Fenêtres, volets, portes donnant sur l'extérieur",Travaux d'efficacité énergétique,,
qualibat,3541D109,Fabrication et pose de menuiseries extérieures en PVC,"Fenêtres, volets, portes donnant sur l'extérieur",Travaux d'efficacité énergétique,,
qualitenr,4,QualiPAC - Pose de pompe à chaleur (PAC aérothermique et PAC géothermique),Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,Installation d'énergies renouvelables,,
qualifelec,40MEE,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualifelec,40MEEE,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualifelec,40MEEev,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage et Ventilation","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualifelec,40MEEv,Ventilation,Ventilation 2020,Travaux d'efficacité énergétique,,
qualifelec,40PMEE,Mention Probatoire Economie d'Energie  (RGE),"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualifelec,40PSPV,Probatoire mention SPV (RGE),Panneaux photovoltaïques 2020,Installation d'énergies renouvelables,,
qualifelec,40SPV,Panneaux Photovoltaïques,Panneaux photovoltaïques 2020,Installation d'énergies renouvelables,,
qualibat,3542D109,Fabrication et pose de menuiseries extérieures en PVC,"Fenêtres, volets, portes donnant sur l'extérieur",Travaux d'efficacité énergétique,,
